constituency,party_before,name,party_member,notes,screen_name,user_id
Glenrothes,Scottish National,Peter Grant,Scottish National,Seat held,PeterGrantMP,3028314515
Gloucester,Conservative,Richard Graham,Conservative,Seat held,RichardGrahamUK,1530621674
North Antrim,DUP,Ian Paisley,DUP,Seat held,ianpaisleymp,
Gosport,Conservative,Caroline Dinenage,Conservative,Seat held,cj_dinenage,383238347
Wakefield,Conservative,Simon Lightwood,Labour (Co-op),Elected after the Imran Ahmad Khan was found guilty of crime in 2022.,simonlightwood,
Wakefield,Labour,Imran Ahmad Khan,Conservative,"Defeated incumbent, Mary Creagh. Found guilty of crime in 2022.",imranahmadkhan,
Stoke-on-Trent South,Conservative,Jack Brereton,Conservative,Seat held,none,none
North East Somerset,Conservative,Jacob Rees-Mogg,Conservative,Seat held,Jacob_Rees_Mogg,
Redcar,Labour Co-operative,Jacob Young,Conservative,"Defeated incumbent, Anna Turley",jacobyoungmp,
Great Yarmouth,Conservative,Brandon Lewis,Conservative,Seat held,BrandonLewis,16884084
Greenwich and Woolwich,Labour,Matthew Pennycook,Labour,Seat held,mtpennycook,21084719
South Suffolk,Conservative,James Cartlidge,Conservative,Seat held,jcartlidgemp,
Hackney North and Stoke Newington,Labour,Diane Abbott,Labour,Seat held,HackneyAbbott,153810216
Braintree,Conservative,James Cleverly,Conservative,Seat held,jamescleverly,
Halesowen and Rowley Regis,Conservative,James Morris,Conservative,Seat held,JamesMorris,155892458
Halifax,Labour,Holly Lynch,Labour,Seat held,HollyLynch5,382181117
Haltemprice and Howden,Conservative,David Davis,Conservative,Seat held,DavidDavisMP,2797521996
Halton,Labour,Derek Twigg,Labour,Seat held,DerekTwiggMP,2245759171
Bury North,Labour,James Daly,Conservative,"Defeated incumbent, James Frith",JamesDalyMP,
Hampstead and Kilburn,Labour,Tulip Siddiq,Labour,Seat held,TulipSiddiq,113491007
Harborough,Conservative,Neil O'Brien,Conservative,Seat held,NeilDotObrien,64679759
Vale of Clwyd,Labour,James Davies,Conservative,"Defeated incumbent, Chris Ruane",JamesDavies,
Harrogate and Knaresborough,Conservative,Andrew Jones,Conservative,Seat held,AJonesMP,806388620
Harrow East,Conservative,Bob Blackman,Conservative,Seat held,BobBlackman,805185025
Harrow West,Labour Co-operative,Gareth Thomas,Labour Co-operative,Seat held,GarethThomasMP,219976700
Leigh,Labour Co-operative,James Grundy,Conservative,"Defeated incumbent, Joanne Platt",none,none
Harwich and North Essex,Conservative,Bernard Jenkin,Conservative,Seat held,bernardjenkin,222762589
Ealing North,Labour,James Murray,Labour Co-operative,"Previous incumbent, Stephen Pound, did not stand",jamesmurray_ldn,
